NHL_GP_Greater_Than_0,Nationality,PIMs_Per_Game_in_Draft_Year,Goals_Per_Game_in_Draft_Year,Assists_Per_Game_in_Draft_Year,Player_Size_in_Draft_Year,Playoffs_in_Draft_Year,Position_in_Draft_Year
yes,CAN,0.3125,0.0625,0.34375,288,No,D
yes,CAN,0.3125,0.75,0.5625,248,No,W
no,CAN,0.3125,0.5,0.625,261,Yes,W
yes,CAN,0.314285714,0.1,0.214285714,253,Yes,C
no,EURO,0.315789474,0.105263158,0.263157895,280,No,W
yes,USA,0.315789474,0.394736842,0.315789474,273,No,W
no,USA,0.317073171,0.182926829,0.268292683,256,Yes,W
yes,USA,0.32,0.04,0.08,274,No,D
yes,EURO,0.321428571,0.035714286,0.053571429,266,Yes,W
yes,USA,0.322580645,0.096774194,0.161290323,270,No,W
no,EURO,0.322580645,0.580645161,0.387096774,281,Yes,C
no,CAN,0.323529412,0.75,0.529411765,247,Yes,W
no,CAN,0.325581395,0.418604651,0.348837209,263,Yes,W
no,CAN,0.326530612,0.244897959,0.448979592,268,Yes,C
yes,EURO,0.327272727,0.163636364,0.109090909,266,No,W
no,CAN,0.333333333,0.166666667,0.133333333,274,Yes,C
no,CAN,0.333333333,0.166666667,0.166666667,264,No,W
no,EURO,0.333333333,0.166666667,0.166666667,267,No,W
yes,EURO,0.333333333,0.25,0.527777778,264,No,C
no,EURO,0.333333333,0.421052632,0.596491228,277,Yes,C
no,EURO,0.337662338,0.025974026,0.168831169,250,Yes,D
no,USA,0.338028169,0.647887324,0.943661972,253,Yes,W
no,EURO,0.340425532,1.127659574,1.085106383,253,No,C
no,EURO,0.341463415,0.609756098,0.463414634,270,No,W
no,EURO,0.342857143,0.171428571,0.028571429,247,Yes,W
no,USA,0.342857143,0,0.057142857,269,Yes,D
no,EURO,0.342857143,0.114285714,0.171428571,255,Yes,C
yes,EURO,0.342857143,0.114285714,0.228571429,299,No,D
no,USA,0.349206349,0.047619048,0.238095238,262,Yes,D
yes,CAN,0.35,0.216666667,0.383333333,286,Yes,C
yes,EURO,0.352941176,0,0.117647059,269,Yes,D
no,EURO,0.352941176,0.529411765,0.235294118,269,No,W
no,USA,0.352941176,0.147058824,0.264705882,262,Yes,D
no,CAN,0.352941176,0.37254902,0.450980392,249,No,C
no,EURO,0.352941176,0.367647059,0.5,270,Yes,W
no,EURO,0.352941176,0.514705882,1.220588235,251,Yes,C
no,CAN,0.355555556,0.2,0.066666667,272,No,W
no,USA,0.357142857,0.071428571,0.071428571,286,No,W
no,EURO,0.357142857,0.928571429,1.321428571,250,No,W
yes,EURO,0.36,0.04,0.18,282,Yes,C
yes,EURO,0.363636364,0.060606061,0.060606061,268,No,C
yes,CAN,0.363636364,0.242424242,0.060606061,282,No,W
yes,CAN,0.363636364,0.295454545,0.113636364,287,No,W
yes,CAN,0.363636364,0.181818182,0.236363636,282,Yes,C
no,EURO,0.363636364,0.090909091,0.318181818,281,No,W
no,EURO,0.363636364,0,0.363636364,264,No,W
yes,USA,0.363636364,0.340909091,0.386363636,264,No,C
no,USA,0.366666667,0.516666667,0.5,300,Yes,W
no,EURO,0.366666667,0.733333333,1.116666667,268,No,C
yes,EURO,0.367346939,0.428571429,0.346938776,266,Yes,W
no,EURO,0.367346939,0.612244898,1.244897959,254,No,D
yes,USA,0.367647059,0.25,0.367647059,258,Yes,W
no,CAN,0.368421053,0.236842105,0.315789474,273,No,C
yes,EURO,0.368421053,0.236842105,0.473684211,287,No,C
no,CAN,0.369230769,0.4,0.415384615,263,Yes,W
no,EURO,0.37037037,0.185185185,0.592592593,262,No,D
no,USA,0.373333333,0.373333333,0.493333333,239,No,C
yes,EURO,0.375,0.0625,0.0625,285,Yes,C
no,EURO,0.375,0.125,0.0625,292,No,W
no,CAN,0.375,0.0625,0.078125,280,No,D
yes,USA,0.375,0.138888889,0.194444444,268,Yes,C
no,EURO,0.375,0.2,0.2,293,Yes,W
yes,USA,0.37704918,0.114754098,0.131147541,310,Yes,D
no,EURO,0.380952381,0.095238095,0.238095238,264,No,D
no,USA,0.382352941,0.220588235,0.352941176,263,Yes,W
no,EURO,0.382978723,0.042553191,0.14893617,268,No,D
yes,EURO,0.384615385,0.173076923,0.076923077,269,Yes,W
yes,EURO,0.384615385,0.038461538,0.153846154,289,No,D
no,CAN,0.384615385,0.051282051,0.230769231,282,No,D
yes,USA,0.384615385,0.423076923,0.365384615,262,Yes,W
no,CAN,0.384615385,0.596153846,0.673076923,299,No,W
yes,EURO,0.387096774,0.241935484,0.419354839,303,Yes,W
no,CAN,0.388888889,0.083333333,0.180555556,259,Yes,W
no,CAN,0.388888889,0.277777778,0.25,266,Yes,W
yes,CAN,0.390243902,0.097560976,0.317073171,289,Yes,W
no,CAN,0.391304348,0.014492754,0.086956522,294,Yes,D
no,CAN,0.391304348,0.195652174,0.173913043,279,No,D
no,CAN,0.392156863,0.31372549,0.215686275,264,Yes,C
no,CAN,0.392156863,0.862745098,1.098039216,251,No,C
no,USA,0.393442623,0.37704918,0.426229508,268,Yes,W
no,USA,0.394366197,0.126760563,0.295774648,274,Yes,C
yes,CAN,0.394366197,0.14084507,0.352112676,285,Yes,D
no,CAN,0.394736842,0.078947368,0.223684211,270,Yes,D
yes,CAN,0.397058824,0.338235294,0.514705882,263,No,W
no,CAN,0.4,0.15,0.15,247,Yes,C
no,CAN,0.4,0.133333333,0.166666667,260,No,D
yes,EURO,0.4,0.366666667,0.3,258,Yes,C
yes,EURO,0.4,0.218181818,0.327272727,264,Yes,W
no,EURO,0.4,0.422222222,0.333333333,268,Yes,D
no,CAN,0.4,0.493333333,0.453333333,249,No,W
no,CAN,0.4,0.6,0.514285714,293,No,C
no,USA,0.4,0.446153846,0.584615385,257,Yes,W
no,CAN,0.4,0.854545455,0.6,268,Yes,W
yes,CAN,0.4,0.461538462,0.692307692,271,Yes,C
no,CAN,0.4,0.311111111,0.711111111,259,No,C
yes,CAN,0.4,0.8,1,274,No,D
no,EURO,0.4,0.68,1.48,249,No,C
no,EURO,0.408163265,0.448979592,0.326530612,284,No,W
yes,CAN,0.408163265,0.346938776,0.551020408,258,Yes,D
no,CAN,0.411764706,0.235294118,0.676470588,262,No,W
yes,CAN,0.413793103,0.172413793,0.137931034,262,No,C
no,CAN,0.415584416,0.337662338,0.584415584,257,Yes,C
yes,CAN,0.416666667,0.291666667,0.145833333,283,No,W
yes,CAN,0.416666667,0.25,0.291666667,243,No,C
no,CAN,0.417910448,0.537313433,0.208955224,258,No,W
no,CAN,0.418918919,0.067567568,0.486486486,261,Yes,D
no,CAN,0.419354839,0.483870968,0.629032258,265,Yes,W
no,EURO,0.421052632,0.087719298,0.070175439,237,Yes,W
yes,CAN,0.421052632,0.210526316,0.210526316,274,No,C
no,EURO,0.421052632,0.298245614,0.350877193,266,Yes,W
no,EURO,0.421052632,0.289473684,0.552631579,286,Yes,D
yes,CAN,0.423076923,0.096153846,0.230769231,274,Yes,D
no,EURO,0.423076923,0.076923077,0.320512821,269,Yes,D
no,EURO,0.423076923,0.884615385,1.461538462,265,No,W
yes,CAN,0.424242424,0.303030303,0.363636364,267,Yes,C
no,EURO,0.425531915,0.042553191,0.191489362,266,No,D
no,CAN,0.426229508,0.426229508,0.426229508,257,Yes,W
no,CAN,0.426666667,0.213333333,0.493333333,259,Yes,C
no,CAN,0.428571429,0.428571429,0.482142857,270,Yes,C
no,CAN,0.430555556,0.111111111,0.194444444,241,Yes,W
no,EURO,0.430555556,0.458333333,0.402777778,246,Yes,C
no,EURO,0.431372549,0.039215686,0.156862745,279,Yes,D
no,EURO,0.431372549,0.764705882,0.450980392,274,Yes,W
yes,CAN,0.431818182,0.272727273,0.295454545,253,Yes,C
no,CAN,0.432432432,0.135135135,0.081081081,269,No,W
no,CAN,0.433333333,0.716666667,0.883333333,261,Yes,C
yes,CAN,0.433333333,0.466666667,0.9,273,Yes,C
no,EURO,0.434782609,0.086956522,0.260869565,266,Yes,C
yes,CAN,0.434782609,0.173913043,0.456521739,270,No,D
no,CAN,0.436363636,0.090909091,0.181818182,289,Yes,D
no,CAN,0.4375,0.25,0.1875,268,Yes,C
yes,EURO,0.43902439,0.073170732,0.292682927,265,No,D
yes,EURO,0.43902439,0.073170732,0.341463415,282,No,D
yes,CAN,0.43902439,0.390243902,0.634146341,250,No,W
yes,EURO,0.443037975,0.139240506,0.303797468,295,Yes,D
no,CAN,0.444444444,0.138888889,0.083333333,273,Yes,D
yes,EURO,0.444444444,0.027777778,0.222222222,267,No,D
no,USA,0.444444444,0.155555556,0.377777778,279,No,D
yes,CAN,0.444444444,0.253968254,0.412698413,256,No,C
no,EURO,0.444444444,0.377777778,0.555555556,288,No,C
no,EURO,0.444444444,0.380952381,1.031746032,288,Yes,W
yes,CAN,0.448979592,0.591836735,0.306122449,242,Yes,W
yes,CAN,0.448979592,0.387755102,0.326530612,259,Yes,W
yes,EURO,0.449275362,0.347826087,0.347826087,253,No,W
yes,EURO,0.449275362,0.188405797,0.376811594,280,Yes,W
yes,CAN,0.450704225,0.338028169,0.605633803,273,Yes,W
no,EURO,0.451612903,0.193548387,0.032258065,282,No,C
no,CAN,0.451612903,0.306451613,0.209677419,261,Yes,W
no,EURO,0.454545455,0.068181818,0.181818182,272,Yes,D
no,CAN,0.454545455,0.439393939,0.621212121,290,Yes,W
no,CAN,0.455882353,0.323529412,0.426470588,288,Yes,W
no,CAN,0.457142857,0.085714286,0.171428571,293,No,D
yes,CAN,0.457142857,0.042857143,0.2,265,Yes,D
no,CAN,0.457142857,0.2,0.2,256,No,W
no,EURO,0.457142857,0.114285714,0.371428571,288,Yes,D
yes,CAN,0.459459459,0.283783784,0.432432432,251,Yes,C
no,EURO,0.461538462,0,0.038461538,283,No,D
no,CAN,0.461538462,0.076923077,0.153846154,255,No,W
yes,EURO,0.461538462,0.384615385,0.5,266,No,C
yes,EURO,0.461538462,0.615384615,0.846153846,256,No,C
yes,CAN,0.464788732,0.098591549,0.253521127,291,No,D
no,EURO,0.464788732,0.112676056,0.267605634,271,Yes,D
no,CAN,0.465116279,0.209302326,0.255813953,275,Yes,D
yes,CAN,0.465753425,0.369863014,0.890410959,263,Yes,C
no,CAN,0.466666667,0.083333333,0.266666667,266,No,C
no,CAN,0.466666667,0.066666667,0.433333333,284,No,D
no,EURO,0.46969697,0.106060606,0.393939394,273,No,D
yes,EURO,0.470588235,0.078431373,0.058823529,265,Yes,D
no,CAN,0.470588235,0.205882353,0.294117647,278,No,C
no,USA,0.470588235,0.258823529,0.505882353,259,Yes,C
yes,CAN,0.471428571,0.071428571,0.357142857,278,Yes,D
yes,CAN,0.472222222,0.555555556,0.486111111,265,Yes,C
no,USA,0.473684211,0.131578947,0.315789474,253,No,C
no,EURO,0.476923077,0.246153846,0.553846154,278,Yes,D
yes,CAN,0.47761194,0.432835821,1,283,Yes,W
no,EURO,0.47826087,0.108695652,0.391304348,277,Yes,D
no,CAN,0.48,0.06,0.1,267,Yes,W
no,CAN,0.480769231,0.076923077,0.076923077,261,Yes,W
yes,CAN,0.481481481,0.166666667,0.277777778,279,Yes,C
yes,EURO,0.482758621,0.206896552,0.120689655,279,No,W
yes,CAN,0.484848485,0.060606061,0.03030303,317,Yes,D
no,CAN,0.485294118,0.073529412,0.397058824,274,Yes,D
yes,EURO,0.485714286,0.242857143,0.271428571,283,No,W
no,CAN,0.486486486,0,0.027027027,280,No,D
no,EURO,0.486486486,0.108108108,0.189189189,264,No,D
yes,CAN,0.486486486,0.216216216,0.243243243,267,Yes,W
yes,CAN,0.486486486,0.27027027,0.486486486,262,No,W
yes,CAN,0.487804878,0.43902439,0.292682927,271,Yes,W
yes,CAN,0.487804878,0.463414634,0.56097561,301,No,C
no,CAN,0.488888889,0.244444444,0.244444444,310,Yes,C
yes,EURO,0.488888889,0.266666667,0.444444444,284,Yes,C
no,EURO,0.489795918,0.163265306,0.326530612,261,Yes,C
no,CAN,0.489795918,0.387755102,0.530612245,265,Yes,C
no,CAN,0.490566038,0.075471698,0.075471698,294,No,D
yes,EURO,0.490566038,0.132075472,0.245283019,269,Yes,D
yes,CAN,0.490566038,0.377358491,0.396226415,275,No,C
yes,USA,0.490566038,0.566037736,0.735849057,268,Yes,W
no,CAN,0.49122807,0.157894737,0.543859649,267,Yes,D
no,CAN,0.491525424,0.406779661,0.372881356,270,Yes,W
no,EURO,0.491803279,0.114754098,0.131147541,266,Yes,D
yes,CAN,0.492307692,0.261538462,0.184615385,269,Yes,W
no,USA,0.492307692,0.076923077,0.230769231,297,Yes,W
no,CAN,0.492753623,0.115942029,0.579710145,294,Yes,D
yes,CAN,0.493506494,0.38961039,0.714285714,262,Yes,W
yes,CAN,0.5,0,0.083333333,258,No,D
no,CAN,0.5,0.178571429,0.107142857,270,No,W
no,CAN,0.5,0.111111111,0.111111111,270,No,W
no,CAN,0.5,0.055555556,0.138888889,249,No,W
no,EURO,0.5,0.303571429,0.232142857,251,Yes,W
yes,EURO,0.5,0.25,0.25,266,No,W
no,EURO,0.5,0.4375,0.333333333,277,No,W
no,CAN,0.5,0.166666667,0.416666667,271,No,C
no,EURO,0.5,0.5,0.444444444,263,No,C
yes,USA,0.5,0.514705882,0.514705882,288,Yes,W
no,CAN,0.5,0.359375,0.65625,260,Yes,C
no,USA,0.5,0.274193548,0.661290323,281,Yes,C
yes,CAN,0.5,0.444444444,0.722222222,277,No,C
no,CAN,0.5,1.75,1.357142857,256,No,C
no,EURO,0.506329114,0.493670886,0.506329114,235,No,W
yes,CAN,0.506666667,0.146666667,0.453333333,276,Yes,D
no,USA,0.507042254,0.028169014,0.197183099,275,No,D
no,CAN,0.507042254,0.23943662,0.394366197,280,Yes,W
yes,EURO,0.507462687,0.164179104,0.119402985,267,Yes,W
no,CAN,0.507936508,0.333333333,0.380952381,273,Yes,W
yes,CAN,0.507936508,0.285714286,0.428571429,267,Yes,C
no,CAN,0.507936508,0.507936508,0.634920635,269,No,C
no,EURO,0.509803922,0.039215686,0.078431373,256,Yes,D
yes,CAN,0.510638298,0.127659574,0.510638298,252,No,C
no,CAN,0.511627907,0.104651163,0.662790698,256,Yes,C
no,EURO,0.512820513,0.102564103,0.256410256,279,No,D
yes,EURO,0.513888889,0.361111111,0.486111111,240,Yes,D
yes,CAN,0.514285714,0.142857143,0.285714286,269,No,C
yes,CAN,0.515151515,0.090909091,0.696969697,257,Yes,D
no,EURO,0.516129032,0.032258065,0.129032258,291,No,D
yes,CAN,0.516129032,0.935483871,0.193548387,283,No,W
yes,EURO,0.517241379,0.086206897,0.362068966,242,Yes,D
no,EURO,0.517241379,0.137931034,0.413793103,292,Yes,W
no,EURO,0.518518519,0.259259259,0.277777778,258,No,W
yes,EURO,0.520547945,0.260273973,0.369863014,295,Yes,W
yes,EURO,0.521126761,0.309859155,0.394366197,267,No,W
yes,CAN,0.52173913,0.260869565,0.217391304,252,No,C
no,EURO,0.52173913,0.173913043,0.260869565,288,Yes,C
no,CAN,0.52173913,0.173913043,0.260869565,290,No,W
no,CAN,0.52173913,0.239130435,0.304347826,282,No,W
yes,CAN,0.52173913,0.5,1.152173913,263,No,C
yes,CAN,0.52238806,0.029850746,0.164179104,270,Yes,D
no,EURO,0.523809524,0.357142857,0.333333333,272,No,C
yes,USA,0.523809524,0.404761905,0.333333333,266,Yes,W
yes,EURO,0.523809524,0.523809524,0.404761905,275,No,C
yes,CAN,0.523809524,0.476190476,0.5,266,No,W
yes,CAN,0.524590164,0.229508197,0.37704918,224,No,W
yes,CAN,0.526315789,0.052631579,0.078947368,266,Yes,D
yes,CAN,0.526315789,0.131578947,0.315789474,274,No,D
yes,EURO,0.526315789,0.666666667,0.473684211,252,Yes,W
yes,EURO,0.526315789,0.701754386,0.614035088,284,No,W
yes,CAN,0.527777778,0.611111111,0.527777778,262,No,C
yes,CAN,0.527777778,0.5,0.736111111,266,Yes,W
no,EURO,0.530612245,0.244897959,0.367346939,308,Yes,W
no,CAN,0.530612245,0.673469388,0.693877551,254,No,W
yes,EURO,0.532258065,0.258064516,0.225806452,280,Yes,W
no,CAN,0.532258065,0.370967742,0.741935484,277,Yes,D
yes,CAN,0.533333333,0.033333333,0.166666667,284,No,D
yes,CAN,0.533333333,0.2,0.244444444,271,Yes,D
yes,CAN,0.533333333,0.177777778,0.288888889,279,No,W
yes,CAN,0.533333333,0.493333333,0.44,277,Yes,W
no,CAN,0.533333333,0.56,0.76,287,No,W
yes,CAN,0.533333333,0.4,0.8,264,No,C
yes,CAN,0.535211268,0.492957746,0.577464789,285,Yes,C
yes,EURO,0.535714286,0.410714286,0.482142857,268,Yes,W
yes,CAN,0.536585366,0.512195122,0.341463415,255,No,C
yes,USA,0.538461538,0.923076923,1.615384615,269,No,C
yes,USA,0.53968254,0.253968254,0.222222222,267,No,C
no,CAN,0.540540541,0.054054054,0.135135135,296,No,D
no,EURO,0.540983607,0.393442623,0.62295082,271,Yes,W
no,EURO,0.540983607,0.606557377,0.639344262,270,No,C
no,EURO,0.541666667,0.229166667,0.291666667,246,Yes,W
no,EURO,0.541666667,0.354166667,0.375,275,No,W
no,EURO,0.541666667,0.354166667,0.520833333,301,Yes,C
no,CAN,0.545454545,0.254545455,0.090909091,280,Yes,C
no,CAN,0.545454545,0.363636364,0.090909091,276,No,W
yes,USA,0.545454545,0.218181818,0.181818182,285,Yes,W
no,EURO,0.545454545,0.136363636,0.204545455,266,Yes,C
no,EURO,0.545454545,0.145454545,0.527272727,262,No,C
yes,EURO,0.545454545,0.121212121,0.545454545,301,Yes,D
no,EURO,0.549019608,0.078431373,0.196078431,271,Yes,D
yes,EURO,0.549019608,0.450980392,0.529411765,276,Yes,C
yes,CAN,0.55,0.225,0.175,275,No,W
yes,CAN,0.55,0.566666667,0.833333333,257,No,C
no,EURO,0.55,0.8,0.85,267,No,C
no,CAN,0.551724138,0.206896552,0.206896552,250,Yes,W
yes,CAN,0.551724138,0.189655172,0.310344828,276,No,D
yes,USA,0.552238806,0.134328358,0.164179104,268,No,W
yes,EURO,0.552631579,0.223684211,0.236842105,284,Yes,D
no,USA,0.553191489,0.234042553,0.14893617,266,Yes,W
no,EURO,0.553191489,0.212765957,0.191489362,261,Yes,W
yes,CAN,0.555555556,0.111111111,0.142857143,288,No,D
yes,EURO,0.555555556,0.25,0.277777778,259,Yes,C
yes,CAN,0.555555556,0.305555556,0.444444444,275,No,C
no,CAN,0.557142857,0.3,0.257142857,257,No,C
yes,CAN,0.557377049,0.327868852,0.426229508,285,Yes,C
yes,USA,0.558139535,0.255813953,0.604651163,291,Yes,C
no,EURO,0.56,0,0.2,286,No,D
no,EURO,0.56,0.04,0.3,244,No,D
no,CAN,0.56,0.48,1.44,266,No,D
no,USA,0.564102564,0.179487179,0.333333333,269,No,C
